Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",-100.990000,-42.180000,180.000000,bottom
"C2","10u","C_0805_2012Metric",-104.610000,-41.400000,90.000000,bottom
"C3","100n","C_0402_1005Metric",-90.250000,-45.900000,90.000000,bottom
"C4","27p","C_0402_1005Metric",-96.550000,-66.650000,0.000000,bottom
"C5","27p","C_0402_1005Metric",-98.100000,-68.500000,-90.000000,bottom
"C6","100n","C_0402_1005Metric",-90.525000,-54.000000,90.000000,bottom
"C7","100n","C_0402_1005Metric",-89.200000,-54.000000,90.000000,bottom
"C8","1u","C_0402_1005Metric",-91.850000,-54.000000,90.000000,bottom
"C9","100n","C_0402_1005Metric",-87.600000,-52.000000,0.000000,bottom
"C10","1u","C_0402_1005Metric",-88.520000,-56.700000,180.000000,bottom
"C11","100n","C_0402_1005Metric",-87.600000,-50.000000,0.000000,bottom
"C12","10u","C_0805_2012Metric",-103.510000,-84.880000,180.000000,bottom
"C13","100n","C_0402_1005Metric",-87.600000,-48.000000,0.000000,bottom
"C14","100n","C_0402_1005Metric",-89.600000,-48.000000,0.000000,bottom
"C15","100n","C_0402_1005Metric",-89.600000,-50.000000,0.000000,bottom
"C16","100n","C_0402_1005Metric",-89.600000,-52.000000,0.000000,bottom
"C17","100n","C_0402_1005Metric",-87.600000,-54.000000,0.000000,bottom
"C18","100n","C_0402_1005Metric",-129.250000,-84.920000,-90.000000,bottom
"C19","100n","C_0402_1005Metric",-279.273750,-103.983500,-90.000000,bottom
"C20","100n","C_0402_1005Metric",-107.550000,-45.500000,180.000000,bottom
"C21","100n","C_0402_1005Metric",-338.805000,-27.783500,-90.000000,bottom
"C22","100n","C_0402_1005Metric",-91.155000,-108.988500,-90.000000,bottom
"C23","100n","C_0402_1005Metric",-243.555000,-27.783500,-90.000000,bottom
"C24","100n","C_0402_1005Metric",-86.850000,-75.000000,180.000000,bottom
"C25","100n","C_0402_1005Metric",-300.705000,-27.783500,-90.000000,bottom
"C26","100n","C_0402_1005Metric",-167.355000,-46.833500,-90.000000,bottom
"C27","100n","C_0402_1005Metric",-243.555000,-84.933500,-90.000000,bottom
"C28","100n","C_0402_1005Metric",-316.775000,-52.625000,90.000000,bottom
"C29","100n","C_0402_1005Metric",-224.505000,-46.833500,-90.000000,bottom
"C30","100n","C_0402_1005Metric",-105.442500,-65.883500,-90.000000,bottom
"C31","100n","C_0402_1005Metric",-99.400000,-30.450000,90.000000,bottom
"C32","100n","C_0402_1005Metric",-129.255000,-46.833500,-90.000000,bottom
"C33","100n","C_0402_1005Metric",-376.905000,-108.746000,-90.000000,bottom
"C34","100n","C_0402_1005Metric",-362.617500,-46.833500,-90.000000,bottom
