Designator,Mid X,Mid Y,Layer,Rotation
C1,-100.99mm,-42.18mm,Bottom,180
C2,-104.61mm,-41.4mm,Bottom,90
C3,-90.25mm,-45.9mm,Bottom,90
C4,-96.55mm,-66.65mm,Bottom,0
C5,-98.1mm,-68.5mm,Bottom,-90
C6,-90.525mm,-54mm,Bottom,90
C7,-89.2mm,-54mm,Bottom,90
C8,-91.85mm,-54mm,Bottom,90
C9,-87.6mm,-52mm,Bottom,0
C10,-88.52mm,-56.7mm,Bottom,180
C11,-87.6mm,-50mm,Bottom,0
C12,-103.51mm,-84.88mm,Bottom,180
C13,-87.6mm,-48mm,Bottom,0
C14,-89.6mm,-48mm,Bottom,0
C15,-89.6mm,-50mm,Bottom,0
C16,-89.6mm,-52mm,Bottom,0
C17,-87.6mm,-54mm,Bottom,0
C18,-129.25mm,-84.92mm,Bottom,-90
C19,-279.27375mm,-103.9835mm,Bottom,-90
C20,-107.55mm,-45.5mm,Bottom,180
C21,-338.805mm,-27.7835mm,Bottom,-90
C22,-91.155mm,-108.9885mm,Bottom,-90
C23,-243.555mm,-27.7835mm,Bottom,-90
C24,-86.85mm,-75mm,Bottom,180
C25,-300.705mm,-27.7835mm,Bottom,-90
C26,-167.355mm,-46.8335mm,Bottom,-90
C27,-243.555mm,-84.9335mm,Bottom,-90
C28,-316.775mm,-52.625mm,Bottom,90
C29,-224.505mm,-46.8335mm,Bottom,-90
C30,-105.4425mm,-65.8835mm,Bottom,-90
C31,-99.4mm,-30.45mm,Bottom,90
C32,-129.255mm,-46.8335mm,Bottom,-90
C33,-376.905mm,-108.746mm,Bottom,-90
C34,-362.6175mm,-46.8335mm,Bottom,-90
C35,-186.405mm,-84.9335mm,Bottom,-90
C36,-186.405mm,-65.8835mm,Bottom,-90
C37,-129.255mm,-27.7885mm,Bottom,-90
C38,-224.505mm,-84.9335mm,Bottom,-90
C39,-319.755mm,-27.7835mm,Bottom,-90
C40,-241.25mm,-112.65mm,Bottom,-90
C41,-110.205mm,-103.9835mm,Bottom,-90
C42,-300.705mm,-46.8335mm,Bottom,-90
C43,-205.455mm,-27.7835mm,Bottom,-90
C44,-153.8mm,-102.6mm,Bottom,0
C45,-148.305mm,-27.7835mm,Bottom,-90
C46,-281.655mm,-27.7835mm,Bottom,-90
C47,-357.855mm,-108.746mm,Bottom,-90
C48,-111.65mm,-26.35mm,Bottom,-90
C49,-148.305mm,-46.8335mm,Bottom,-90
C50,-205.455mm,-65.8835mm,Bottom,-90
C51,-262.605mm,-65.8835mm,Bottom,-90
C52,-300.705mm,-103.9835mm,Bottom,-90
C53,-381.6675mm,-27.7835mm,Bottom,-90
C54,-281.655mm,-65.8835mm,Bottom,-90
C55,-362.6175mm,-65.8835mm,Bottom,-90
C56,-186.405mm,-27.7835mm,Bottom,-90
C57,-262.605mm,-27.7835mm,Bottom,-90
C58,-362.6175mm,-27.7835mm,Bottom,-90
C59,-107.82375mm,-84.9335mm,Bottom,-90
C60,-129.255mm,-65.8835mm,Bottom,-90
C61,-281.655mm,-84.9335mm,Bottom,-90
C62,-357.855mm,-89.696mm,Bottom,-90
C63,-224.505mm,-27.7835mm,Bottom,-90
C64,-148.305mm,-65.8835mm,Bottom,-90
C65,-88.85mm,-89.65mm,Bottom,-90
C66,-243.555mm,-46.8335mm,Bottom,-90
C67,-261mm,-105.95mm,Bottom,90
C68,-281.655mm,-46.8335mm,Bottom,-90
C69,-186.405mm,-46.8335mm,Bottom,-90
C70,-205.455mm,-84.9335mm,Bottom,-90
C71,-167.355mm,-65.8835mm,Bottom,-90
C72,-148.305mm,-84.9335mm,Bottom,-90
C73,-134.0175mm,-103.9835mm,Bottom,-90
C74,-350.65mm,-78.8mm,Bottom,90
C75,-300.705mm,-84.9335mm,Bottom,-90
C76,-167.355mm,-27.7835mm,Bottom,-90
C77,-167.355mm,-84.9335mm,Bottom,-90
C78,-300.705mm,-65.8835mm,Bottom,-90
C79,-381.6675mm,-65.8835mm,Bottom,-90
C80,-243.555mm,-65.8835mm,Bottom,-90
C81,-224.505mm,-65.8835mm,Bottom,-90
C82,-381.6675mm,-46.8335mm,Bottom,-90
C83,-205.455mm,-46.8335mm,Bottom,-90
C84,-338.805mm,-108.746mm,Bottom,-90
C85,-262.605mm,-84.9335mm,Bottom,-90
C86,-262.605mm,-46.8335mm,Bottom,-90
C87,-381.6675mm,-84.9335mm,Bottom,-90
D0,-89.35mm,-43.0375mm,Bottom,180
D1,-109.7525mm,-43.03mm,Bottom,180
D2,-103.5375mm,-62.0875mm,Bottom,180
